name;orient;0_1;1_2;2_3;3_4;4_5;5_6;6_7;7_8;8_9;9_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24
EWS11;ЮЗ;-6.2;-6.9;-7.1;-6.9;-5.3;-3.2;-0.7;1.8;4.4;6.5;34.1;80.2;124.7;155.6;173.0;174.5;157.3;113.7;61.2;26.4;0.0;-1.8;-3.6;-5.1
EWS11;СВ;-6.2;-6.9;-7.1;-6.9;40.5;92.3;110.1;95.5;52.4;12.4;3.6;5.1;6.2;6.9;7.1;6.9;6.2;5.1;3.6;1.8;0.0;-1.8;-3.6;-5.1
EWS11;ЮВ;-6.2;-6.9;-7.1;-6.9;18.4;52.6;105.1;149.3;167.6;167.7;152.3;123.6;81.3;37.5;26.9;25.7;21.8;17.4;11.7;5.6;0.0;-1.8;-3.6;-5.1
EWS11;СЗ;-0.2;-0.2;-0.2;-0.2;3.6;8.7;12.8;15.6;16.5;16.8;17.1;17.2;17.5;18.4;31.6;78.2;126.4;141.1;118.9;56.2;0.0;0.0;-0.1;-0.1
EWS11;С;-6.2;-6.9;-7.1;-6.9;26.1;42.7;23.0;2.6;4.2;5.8;7.5;8.8;10.0;10.8;11.1;11.1;10.6;31.6;51.3;34.2;0.0;-1.8;-3.6;-5.1
EWS11;Ю;-6.2;-6.9;-7.1;-6.9;-6.2;-5.1;-3.6;7.3;39.4;73.6;103.5;119.0;120.2;106.8;78.9;46.3;15.4;5.1;3.6;1.8;0.0;-1.8;-3.6;-5.1
EWS12;ЮЗ;-6.2;-6.9;-7.1;-6.9;-5.3;-3.2;-0.7;1.8;4.4;6.5;34.1;80.2;124.7;155.6;173.0;174.5;157.3;113.7;61.2;26.4;0.0;-1.8;-3.6;-5.1
EWS12;СВ;-6.2;-6.9;-7.1;-6.9;40.5;92.3;110.1;95.5;52.4;12.4;3.6;5.1;6.2;6.9;7.1;6.9;6.2;5.1;3.6;1.8;0.0;-1.8;-3.6;-5.1
EWS12;ЮВ;-6.2;-6.9;-7.1;-6.9;18.4;52.6;105.1;149.3;167.6;167.7;152.3;123.6;81.3;37.5;26.9;25.7;21.8;17.4;11.7;5.6;0.0;-1.8;-3.6;-5.1
EWS12;СЗ;-0.2;-0.2;-0.2;-0.2;3.6;8.7;12.8;15.6;16.5;16.8;17.1;17.2;17.5;18.4;31.6;78.2;126.4;141.1;118.9;56.2;0.0;0.0;-0.1;-0.1
EWS12;С;-6.2;-6.9;-7.1;-6.9;26.1;42.7;23.0;2.6;4.2;5.8;7.5;8.8;10.0;10.8;11.1;11.1;10.6;31.6;51.3;34.2;0.0;-1.8;-3.6;-5.1
EWS12;Ю;-6.2;-6.9;-7.1;-6.9;-6.2;-5.1;-3.6;7.3;39.4;73.6;103.5;119.0;120.2;106.8;78.9;46.3;15.4;5.1;3.6;1.8;0.0;-1.8;-3.6;-5.1
EWS15;ЮЗ;-6.2;-6.9;-7.1;-6.9;-5.3;-3.2;-0.7;1.8;4.4;6.5;34.1;80.2;124.7;155.6;173.0;174.5;157.3;113.7;61.2;26.4;0.0;-1.8;-3.6;-5.1
EWS15;СВ;-6.2;-6.9;-7.1;-6.9;40.5;92.3;110.1;95.5;52.4;12.4;3.6;5.1;6.2;6.9;7.1;6.9;6.2;5.1;3.6;1.8;0.0;-1.8;-3.6;-5.1
EWS15;ЮВ;-6.2;-6.9;-7.1;-6.9;18.4;52.6;105.1;149.3;167.6;167.7;152.3;123.6;81.3;37.5;26.9;25.7;21.8;17.4;11.7;5.6;0.0;-1.8;-3.6;-5.1
